runId,createdAt,gate,v2_score,top_delta_dim,top_delta_val,top_delta_raw_dim,top_delta_raw_val,top_delta_effective_dim,top_delta_effective_val,gateReasons_joined,anti_overfitting_applied,sources_count,unique_domains,duplicate_ratio,facts_count
"run_1772135980142_atw0jl","2026-02-26T19:59:40.142Z","true","24","citations_integrity","2","citations_integrity","2","citations_integrity","4","","true","10","10","0","27"
"run_1772135979124_y61ow1","2026-02-26T19:59:39.124Z","true","24","citations_integrity","2","citations_integrity","2","citations_integrity","4","","true","10","10","0","27"
"run_1772135978022_l7j8kp","2026-02-26T19:59:38.022Z","true","24","citations_integrity","2","citations_integrity","2","citations_integrity","4","","true","10","10","0","27"
"run_1772135976912_49jb6h","2026-02-26T19:59:36.912Z","true","24","citations_integrity","2","citations_integrity","2","citations_integrity","4","","true","10","10","0","27"
"run_1772135975890_xxee6w","2026-02-26T19:59:35.890Z","true","24","citations_integrity","2","citations_integrity","2","citations_integrity","4","","true","10","10","0","27"
"run_1772135974793_6loa90","2026-02-26T19:59:34.793Z","true","24","citations_integrity","2","citations_integrity","2","citations_integrity","4","","true","10","10","0","27"
"run_1772135973708_xukqtl","2026-02-26T19:59:33.708Z","true","24","citations_integrity","2","citations_integrity","2","citations_integrity","4","","true","10","10","0","27"
"run_1772135972633_y3bopb","2026-02-26T19:59:32.633Z","true","24","citations_integrity","2","citations_integrity","2","citations_integrity","4","","true","10","10","0","27"
"run_1772135971566_zf6h2f","2026-02-26T19:59:31.566Z","true","24","citations_integrity","2","citations_integrity","2","citations_integrity","4","","true","10","10","0","27"
"run_1772135970489_h5h5se","2026-02-26T19:59:30.489Z","true","24","citations_integrity","2","citations_integrity","2","citations_integrity","4","","true","10","10","0","27"
"run_1772135930889_n1ptdh","2026-02-26T19:58:50.889Z","true","27","counterarguments_nuance","3","counterarguments_nuance","3","citations_integrity","4","","true","10","10","0","27"
"run_1772135929812_894291","2026-02-26T19:58:49.812Z","true","27","counterarguments_nuance","3","counterarguments_nuance","3","citations_integrity","4","","true","10","10","0","27"
"run_1772135928793_d3zxrl","2026-02-26T19:58:48.793Z","true","27","counterarguments_nuance","3","counterarguments_nuance","3","citations_integrity","4","","true","10","10","0","27"
"run_1772135927788_n4jats","2026-02-26T19:58:47.788Z","true","27","counterarguments_nuance","3","counterarguments_nuance","3","citations_integrity","4","","true","10","10","0","27"
"run_1772135926763_tqkd5i","2026-02-26T19:58:46.763Z","true","27","counterarguments_nuance","3","counterarguments_nuance","3","citations_integrity","4","","true","10","10","0","27"
"run_1772135925686_3scw1r","2026-02-26T19:58:45.686Z","true","27","counterarguments_nuance","3","counterarguments_nuance","3","citations_integrity","4","","true","10","10","0","27"
"run_1772135924603_o68sjw","2026-02-26T19:58:44.603Z","true","27","counterarguments_nuance","3","counterarguments_nuance","3","citations_integrity","4","","true","10","10","0","27"
"run_1772135923523_3com7o","2026-02-26T19:58:43.523Z","true","27","counterarguments_nuance","3","counterarguments_nuance","3","citations_integrity","4","","true","10","10","0","27"
"run_1772135922433_sduhaz","2026-02-26T19:58:42.433Z","true","27","counterarguments_nuance","3","counterarguments_nuance","3","citations_integrity","4","","true","10","10","0","27"
"run_1772135921380_unhtga","2026-02-26T19:58:41.380Z","true","27","counterarguments_nuance","3","counterarguments_nuance","3","citations_integrity","4","","true","10","10","0","27"
